,contested,democrat_name,democrat_percent,democrat_votes,democrat_winner,district,other_candidates,republican_name,republican_percent,republican_votes,republican_winner,state_name
0,False,,,,False,1,[],B. Byrne (i),,,True,Alabama
1,True,N. Mathis,0.454,111640.0,False,2,[],M. Roby (i),0.546,134450.0,True,Alabama
2,True,J. Smith,0.329,93567.0,False,3,[],M. Rogers (i),0.671,190724.0,True,Alabama
3,False,,,,False,4,[],R. Aderholt (i),,,True,Alabama
4,True,W. Boyd,0.332,101577.0,False,5,[],M. Brooks (i),0.668,204791.0,True,Alabama
5,True,D. Putman,0.252,81296.0,False,6,[],G. Palmer (i),0.748,240897.0,True,Alabama
6,False,T. Sewell (i),,,True,7,[],,,,False,Alabama
7,True,D. DeGette (i),0.678,189837.0,True,1,"[{'name': 'D. Dinges', 'winner': False, 'votes': 10549, 'percent': 0.038}]",C. Stockham,0.28400000000000003,79561.0,False,Colorado
8,True,J. Polis (i),0.5680000000000001,251988.0,True,2,"[{'name': 'R. Longstreth', 'winner': False, 'votes': 25858, 'percent': 0.058}]",N. Morse,0.374,166020.0,False,Colorado
9,True,G. Schwartz,0.406,142794.0,False,3,"[{'name': 'G. Kent', 'winner': False, 'votes': 16996, 'percent': 0.048}]",S. Tipton (i),0.546,191917.0,True,Colorado
10,True,B. Seay,0.315,119249.0,False,4,"[{'name': 'B. Griffith', 'winner': False, 'votes': 17925, 'percent': 0.047}]",K. Buck (i),0.638,241424.0,True,Colorado
11,True,M. Plowright,0.308,109573.0,False,5,"[{'name': 'M. McRedmond', 'winner': False, 'votes': 24320, 'percent': 0.068}]",D. Lamborn (i),0.624,222169.0,True,Colorado
12,True,M. Carroll,0.424,149417.0,False,6,"[{'name': 'N. Olsen', 'winner': False, 'votes': 17102, 'percent': 0.049}, {'name': 'R. Worthey', 'winner': False, 'votes': 5038, 'percent': 0.014}]",M. Coffman (i),0.513,180727.0,True,Colorado
13,True,E. Perlmutter (i),0.552,185208.0,True,7,"[{'name': 'M. Buchanan', 'winner': False, 'votes': 15831, 'percent': 0.047}]",G. Athanasopoulos,0.4,134244.0,False,Colorado
14,False,,,,False,1,"[{'name': 'M. West', 'winner': False, 'votes': 56200, 'percent': 0.23500000000000001}]",R. Crawford (i),0.765,183068.0,True,Arkansas
